"file_name","so_answer_id","gh_file_id","applied_pattern"
"so#2817883_gh#0155ecceff469dc12309b653173c3197b76d92f1.html","2817883","0155ecceff469dc12309b653173c3197b76d92f1","The variable is used as an argument in a System.out.println invocation"
"so#2817806_gh#bda1189240dd2d20640a3525109d1a3fa4a168be.html","2817806","bda1189240dd2d20640a3525109d1a3fa4a168be","The return value is already in the code snippet"
"so#2408779_gh#5cf67ced8906626dd8731840d0628bf498e88a10.html","2408779","5cf67ced8906626dd8731840d0628bf498e88a10","Undefined phenomenon"
"so#2269242_gh#b1a10264dd80f9a41f746b99ba67fcb12938324d.html","2269242","b1a10264dd80f9a41f746b99ba67fcb12938324d","The variable is the latest statement in the code snippet"
"so#767833_gh#d49f21c8b011870f029cc3bcad4b8eb866de8043.html","767833","d49f21c8b011870f029cc3bcad4b8eb866de8043","The variable is used as an argument in a System.out.println invocation"
"so#434731_gh#e01f6be0b8d41e0766fe4a0a37e1f2a7c64d7fa7.html","434731","e01f6be0b8d41e0766fe4a0a37e1f2a7c64d7fa7","Undefined phenomenon"
"so#434731_gh#dde2678e90daed7e7f8f26272948ad20a86d5b43.html","434731","dde2678e90daed7e7f8f26272948ad20a86d5b43","Undefined phenomenon"
"so#434731_gh#c2e5175e403baf267eef7492cc8daa4651ea2f56.html","434731","c2e5175e403baf267eef7492cc8daa4651ea2f56","Undefined phenomenon"
"so#434731_gh#baf986e37a223ccc6b074b019e0c46a9595211c3.html","434731","baf986e37a223ccc6b074b019e0c46a9595211c3","Undefined phenomenon"
"so#434731_gh#94ef7d3b74f94bbc6fa4e4b5126aa3364bc70249.html","434731","94ef7d3b74f94bbc6fa4e4b5126aa3364bc70249","Undefined phenomenon"
"so#434731_gh#5b4dc6d688d3500c77a26d82da5125511b1f1da0.html","434731","5b4dc6d688d3500c77a26d82da5125511b1f1da0","Undefined phenomenon"
"so#192094_gh#ceaea752afe075b2c47abaa535c1b4829ef9d9fc.html","192094","ceaea752afe075b2c47abaa535c1b4829ef9d9fc","Undefined phenomenon"
"so#31463_gh#05bc6a08233ab52bf5a13509bb87195eeeaff913.html","31463","05bc6a08233ab52bf5a13509bb87195eeeaff913","The variable is used as an argument in a System.out.println invocation"
"so#14257087_gh#efa734d1b87211ab4aab47fe2bcdb599cb8c219b.html","14257087","efa734d1b87211ab4aab47fe2bcdb599cb8c219b","Undefined phenomenon"
"so#434731_gh#8fdb4444e291e0f20bab9e32f4c2016a57334c0a.html","434731","8fdb4444e291e0f20bab9e32f4c2016a57334c0a","Undefined phenomenon"
"so#792049_gh#a26fc76d113bd2ac6caba81d54fa00d3932c3973.html","792049","a26fc76d113bd2ac6caba81d54fa00d3932c3973","Undefined phenomenon"
"so#48597869_gh#25cfa3ded1cef98a0f8a27d483b8af451f7930ff.html","48597869","25cfa3ded1cef98a0f8a27d483b8af451f7930ff","Undefined phenomenon"
